hs4,품목명,수입액합계,수입국수,HHI,1위국,1위국코드,1위국비중,건당수입액,레코드수,위험등급
7507,관(管) 연결구류,37991059.0,22,0.2644,일본,JP,0.3451,303928,125,YELLOW
2910,기타,215255624.0,20,0.2628,태국,TH,0.3947,1464324,147,YELLOW
2834,기타,19856446.0,29,0.2617,중국,CN,0.4638,99282,200,YELLOW
7005,기타,48505323.0,21,0.2607,중국,CN,0.3674,344009,141,YELLOW
2901,포화비환식탄화수소,898528581.0,33,0.2567,중국,CN,0.4528,3482669,258,YELLOW
2934,기타,358523766.0,103,0.2532,중국,CN,0.3811,530361,676,YELLOW
2613,기타,686383028.0,17,0.2517,칠레,CL,0.4202,7799807,88,YELLOW
7603,비(非)층상조직인 가루,7259079.0,13,0.2502,중국,CN,0.4236,95514,76,YELLOW
3810,"금속표면처리용 침지 조제품, 납땜용ㆍ땜질용ㆍ용접용 가루와 페이스트(paste)로서 금속과 그 밖의 재료로 조성한 것",93974808.0,33,0.2466,일본,JP,0.4408,453985,207,YELLOW
3804,"목재펄프를 제조할 때 생기는 폐액(廢液)[농축한 것인지, 당류를 제거한 것인지 또는 화학적으로 처리한 것인지에 상관없으며 리그닌 술폰산을 포함하나, 제3803호의 톨유(tall oil)는 제외한다]",1435847.0,15,0.2452,노르웨이,NO,0.4072,31908,45,YELLOW
2701,유연탄,7039302992.0,21,0.2444,호주,AU,0.4123,51759581,136,YELLOW
2821,산화철과 수산화철,10417638.0,25,0.2436,중국,CN,0.4008,114480,91,YELLOW
2931,기타,218525313.0,35,0.2436,중국,CN,0.4215,714135,306,YELLOW
3811,기타,254589724.0,31,0.2417,싱가포르,SG,0.4119,1014302,251,YELLOW
2815,수용액(소다액이나 액체 상태의 소다),25320373.0,30,0.2375,중국,CN,0.4344,113544,223,YELLOW
2712,기타,16799911.0,24,0.2375,중국,CN,0.4415,96551,174,YELLOW
3912,기타,114015833.0,33,0.2344,미국,US,0.4252,411610,277,YELLOW
3809,섬유산업이나 이와 유사한 산업에서 사용하는 것,52813164.0,30,0.2317,베트남,VN,0.4141,235773,224,YELLOW
7404,구리의 웨이스트(waste)와 스크랩(scrap),1873013827.0,94,0.2275,미국,US,0.4641,4955063,378,YELLOW
3003,기타,61706020.0,27,0.2228,중국,CN,0.4224,453721,136,YELLOW
2620,기타,312912419.0,44,0.2224,호주,AU,0.4409,1217558,257,YELLOW
3822,기타,462218413.0,79,0.2061,미국,US,0.4014,798305,579,YELLOW
